r,theoretical,observed_1,simulation_mean_1,simulation_low_1,simulation_high_1,observed_2,simulation_mean_2,simulation_low_2,simulation_high_2,observed_3,simulation_mean_3,simulation_low_3,simulation_high_3,observed_4,simulation_mean_4,simulation_low_4,simulation_high_4
9.3,271.716348608981,176,190.72,137.6,236.8,224,218.912,150.4,275.2,217.6,162.816,80,214.4,364.8,365.568,320,400
9.35,274.645883758454,179.2,195.872,137.6,246.4,224,218.912,150.4,275.2,220.8,166.656,86.4,224,364.8,367.168,320,400
9.4,277.591126871194,182.4,198.56,137.6,252.8,224,218.912,150.4,275.2,224,170.176,92.8,224,364.8,368.096,323.2,400
9.45,280.552077947203,185.6,199.424,137.6,256,224,218.912,150.4,275.2,227.2,170.912,92.8,224,364.8,369.056,323.2,400
9.5,283.528736986479,185.6,199.424,137.6,256,224,218.912,150.4,275.2,227.2,171.904,96,224,364.8,369.824,326.4,400
9.55,286.521103989023,185.6,201.184,137.6,259.2,224,218.912,150.4,275.2,233.6,175.328,108.8,227.2,364.8,369.824,326.4,400
9.6,289.529178954835,192,202.848,140.8,262.4,224,218.912,150.4,275.2,236.8,176.224,108.8,230.4,368,372.384,332.8,400
9.65,292.552961883916,195.2,204.608,140.8,265.6,224,218.912,150.4,275.2,243.2,179.072,115.2,233.6,371.2,373.28,332.8,400
9.7,295.592452776264,195.2,205.632,140.8,268.8,224,218.912,150.4,275.2,246.4,179.904,115.2,233.6,371.2,373.28,332.8,400
9.75,298.64765163188,201.6,210.048,140.8,268.8,224,219.904,150.4,275.2,246.4,182.112,118.4,233.6,371.2,374.144,332.8,400
